x,y
3425.5194,1250.34
3958.6314,610.056
3884.298,311.4858
3855.5814,334.2942
3873.0312,330.8592
3893.916,343.5
3990.6456,398.46
3979.104,358.4766
3885.3972,459.3282
3859.0164,458.0916
3944.8914,499.0368
3822.3306,544.104
3502.4634,649.7646
3439.6716,675.4584
3254.1816,836.4912
3295.2642,1030.6374
3380.04,841.3002
3479.655,775.3482
3416.5884,888.7032
3404.772,753.2268
3100.1562,750.204
3113.0718,857.7882
2915.628,1091.9178
3092.0496,968.1204
2957.535,1015.5234
3012.6324,893.5122
3339.9192,799.9428
3200.8704,820.278
3393.093,628.8798
3525.2718,484.335
3604.5516,290.8758
3332.2248,399.6966
3238.7928,559.218
3332.7744,464.6868
3417.6876,443.3898
3419.3364,493.8156
3174.4896,676.695
3385.6734,870.2916
3046.158,1156.3584
3018.4032,967.1586
3112.6596,1022.8056
3014.8308,1251.9888
2702.658,1180.4034
2682.5976,1281.1176
2798.5632,1194.2808
3019.365,963.5862
3055.6386,793.485
3013.7316,476.9154
3169.5432,474.5796
3358.6056,544.5162
3307.0806,435.558
3460.1442,238.2516
3273.2802,234.8166
3170.2302,302.8296
3084.2178,468.8088
3082.1568,709.671
3201.9696,694.2822
2945.3064,631.9026
2695.101,508.7922
2643.4386,437.2068
2489.8254,670.0998
2528.2974,583.5378
2255.9706,716.9532
2209.2546,728.6322
2147.8368,801.042
2181.912,882.108
2435.9646,850.3686
2577.3492,695.7936
2723.955,467.2974
2770.9458,741.1356
2467.2918,1054.1328
2444.2086,839.9262
2592.3258,641.9328
2756.6562,585.1866
2798.7006,742.9218
2880.0414,557.844
2829.4782,439.68
2926.8948,380.8728
3098.0952,302.967
2935.9632,395.1624
2713.9248,454.6566
2638.2174,374.1402
2912.4678,323.3022
2839.371,424.8408
2512.4964,466.3356
2657.1786,466.7478
2329.3422,734.1282
2419.614,978.8376
2524.9998,755.1504
2441.7354,888.8406
2471.6886,1208.8452
2529.9462,1296.6438
2667.2088,1496.5608
2354.8986,1365.8934
2287.1604,1471.554
2287.5726,1641.1056
2146.0506,1592.8782
2255.1462,1817.5272
2327.556,1828.794
2348.9904,1880.319
2437.476,1850.091
2634.3702,1918.9284
2825.9058,1778.643
2571.0288,1558.6656
2541.9,1528.575
2498.8938,1654.296
2728.2144,1675.593
2758.992,1439.5398
2818.761,1269.576
2818.2114,1100.0244
2817.9366,1391.4498
2800.0746,1196.4792
2810.3796,1456.3026
2993.6712,1577.2146
3049.3182,1357.0998
3040.2498,1371.5268
2775.7548,1452.0432
2788.3956,1346.52
2631.4848,1506.0414
2602.356,1557.0168
2639.5914,1767.7884
2655.255,1648.113
2566.9068,1842.534
2379.6306,1854.9
2244.8412,2022.3906
2353.1124,2240.994
2349.1278,2179.3014
2326.7316,2045.7486
2323.1592,2135.4708
1992.7122,2097.6858
2067.5952,2149.2108
2198.2626,2179.851
2393.0958,2160.3402
2448.8802,2230.689
2289.771,2082.0222
2340.609,2212.5522
2343.357,2163.6378
2333.6016,1947.7824
2425.6596,1917.2796
2510.0232,1759.8192
2435.5524,1607.8548
2464.1316,1252.5384
2451.0786,1511.2626
2750.061,1480.3476
2754.4578,1921.1268
2381.142,1823.985
2397.2178,1699.638
2166.9354,1920.4398
2342.5326,1920.7146
2198.4,2029.1232
2094.8004,1889.5248
2208.1554,1717.5
2120.6316,1725.1944
2016.7572,1669.2726
1849.6788,1771.2234
1815.054,1477.3248
