t1,x1,y1,t2,x2,y2,t3,x3,y3
0,167.2,701.5,0,797.2,844.5,0,736.3,1.33E+03
0.3,167.1,701.6,0.3,796.9,842.8,0.3,728.5,1.33E+03
0.599,166.3,702.2,0.599,797.2,844.6,0.599,723.5,1.33E+03
0.899,166.1,702.6,0.899,797.2,844.5,0.899,718.6,1.33E+03
1.199,166.2,702.2,1.199,800.3,843.4,1.199,718.2,1.33E+03
1.499,167.8,699.1,1.499,799.4,844.9,1.499,722.2,1.33E+03
1.798,165.5,703.5,1.798,797.7,844.6,1.798,725.8,1.33E+03
2.098,169.5,699.4,2.098,798.1,844.4,2.098,723.3,1.33E+03
2.398,168.6,701.8,2.398,798.4,847.2,2.398,721.1,1.33E+03
2.698,167.5,701.7,2.698,798.2,844.4,2.698,726.4,1.33E+03
2.997,166.9,701.2,2.997,798.2,844.5,2.997,725.7,1.33E+03
3.297,171.2,700.8,3.297,796.9,843.9,3.297,726.1,1.32E+03
3.597,167.9,701.4,3.597,798.2,844.8,3.597,725.9,1.32E+03
3.897,170,700.8,3.897,801,817.9,3.897,727.3,1.32E+03
4.196,169.2,700.8,4.196,799.2,824.3,4.196,731,1.32E+03
4.496,169,700.5,4.496,797.2,830,4.496,729.5,1.31E+03
4.796,168.2,701.5,4.796,789.8,832.5,4.796,728.5,1.30E+03
5.096,171.7,701.1,5.096,791.1,835.4,5.096,723.5,1.29E+03
5.395,170.1,702.2,5.395,791.2,840.6,5.395,720.4,1.29E+03
5.695,194.4,699.9,5.695,789.2,846.1,5.695,724,1.29E+03
5.995,186,703.4,5.995,790.2,849.5,5.995,721.4,1.30E+03
6.295,187.8,703.5,6.295,792.9,845.5,6.295,722.1,1.29E+03
6.594,188.4,705.8,6.594,799.2,846.7,6.594,717.1,1.29E+03
6.894,185.9,708.2,6.894,800.9,849.4,6.894,717.4,1.30E+03
7.194,188.2,706.2,7.194,802.2,845.3,7.194,719.1,1.30E+03
7.494,184.1,703.8,7.494,801,848,7.494,723.1,1.30E+03
7.793,182,705.8,7.793,803.8,847.8,7.793,727.1,1.30E+03
8.093,175.9,698.5,8.093,805.4,849.8,8.093,728.2,1.30E+03
8.393,169,707.4,8.393,808,850.7,8.393,728.6,1.30E+03
