,t1,x1,y1,t2,x2,y2,t3,x3,y3,distance_1,distance_2,distance_3,distance_11,distance_22,distance_33,distance_111,distance_222,distance_333,distance_10,distance_20,distance_30
0,0,167.2,701.5,0,797.2,844.5,0,736.3,1330,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3,167.1,701.6,0.3,796.9,842.8,0.3,728.5,1330,0.141421356,1.72626765,7.8,0,0,0,0,0,0,0.02,2.98,60.84
2,0.599,166.3,702.2,0.599,797.2,844.6,0.599,723.5,1330,1,1.824828759,5,1.140175425,0.1,12.8,0,0,0,1.3,0.01,163.84
3,0.899,166.1,702.6,0.899,797.2,844.5,0.899,718.6,1330,0.447213595,0.1,4.9,1.414213562,1.72626765,9.9,1.555634919,0,17.7,2.42,0,313.29
4,1.199,166.2,702.2,1.199,800.3,843.4,1.199,718.2,1330,0.412310563,3.289376841,0.4,0.1,3.324154028,5.3,1.081665383,3.4525353,10.3,1.49,10.82,327.61
5,1.499,167.8,699.1,1.499,799.4,844.9,1.499,722.2,1330,3.488552709,1.749285568,4,3.891015292,2.236067977,3.6,3.443835072,2.220360331,1.3,6.12,5,198.81
6,1.798,165.5,703.5,1.798,797.7,844.6,1.798,725.8,1330,4.964876635,1.72626765,3.6,1.476482306,2.863564213,7.6,1.081665383,0.509901951,7.2,6.89,0.26,110.25
7,2.098,169.5,699.4,2.098,798.1,844.4,2.098,723.3,1330,5.728001397,0.447213595,2.5,1.72626765,1.392838828,1.1,4.327817002,2.416609195,5.1,9.7,0.82,169
8,2.398,168.6,701.8,2.398,798.4,847.2,2.398,721.1,1330,2.563201124,2.816025568,2.2,3.535533906,2.692582404,4.7,2.816025568,2.507987241,1.1,2.05,8.73,231.04
9,2.698,167.5,701.7,2.698,798.2,844.4,2.698,726.4,1330,1.104536102,2.80713377,5.3,3.047950131,0.1,3.1,2.690724809,0.538516481,0.6,0.13,1.01,98.01
10,2.997,166.9,701.2,2.997,798.2,844.5,2.997,725.7,1330,0.781024968,0.1,0.7,1.802775638,2.707397274,4.6,3.16227766,0.141421356,2.4,0.18,1,112.36
11,3.297,171.2,700.8,3.297,796.9,843.9,3.297,726.1,1320,4.318564576,1.431782106,10.0079968,3.807886553,1.392838828,10.00449899,2.785677655,3.624913792,11.18033989,16.49,0.45,204.04
12,3.597,167.9,701.4,3.597,798.2,844.8,3.597,725.9,1320,3.354101966,1.58113883,0.2,1.019803903,0.3,10.0019998,0.5,0.4,10.0124922,0.5,1.09,208.16
